,date,epsActual,epsEstimated,eps_surprise,ticker
48,2014-05-01,2.1,1.88,0.2200000000000002,XOM
47,2014-07-31,2.05,1.86,0.18999999999999972,XOM
46,2014-10-31,1.89,1.71,0.17999999999999994,XOM
45,2015-02-02,1.32,1.34,-0.020000000000000018,XOM
44,2015-04-30,1.17,0.83,0.33999999999999997,XOM
43,2015-07-31,1.0,1.11,-0.1100000000000001,XOM
42,2015-10-30,1.01,0.89,0.12,XOM
41,2016-02-02,0.67,0.63,0.040000000000000036,XOM
40,2016-04-29,0.43,0.31,0.12,XOM
39,2016-07-29,0.41,0.64,-0.23000000000000004,XOM
38,2016-10-28,0.63,0.58,0.050000000000000044,XOM
37,2017-01-31,0.9,0.72,0.18000000000000005,XOM
36,2017-04-28,0.95,0.85,0.09999999999999998,XOM
35,2017-07-28,0.78,0.84,-0.05999999999999994,XOM
34,2017-10-27,0.97,0.86,0.10999999999999999,XOM
33,2018-02-02,0.88,1.06,-0.18000000000000005,XOM
32,2018-04-27,1.09,1.12,-0.030000000000000027,XOM
31,2018-07-27,0.92,1.27,-0.35,XOM
30,2018-11-02,1.46,1.23,0.22999999999999998,XOM
29,2019-02-01,1.41,1.08,0.32999999999999985,XOM
28,2019-04-26,0.55,0.7,-0.1499999999999999,XOM
27,2019-08-02,0.73,0.66,0.06999999999999995,XOM
26,2019-11-01,0.75,0.67,0.07999999999999996,XOM
25,2020-01-31,0.41,0.44,-0.030000000000000027,XOM
24,2020-05-01,0.53,0.00039,0.52961,XOM
23,2020-07-31,-0.7,-0.63,-0.06999999999999995,XOM
22,2020-10-30,-0.18,-0.28,0.10000000000000003,XOM
21,2021-02-02,0.03,0.01217,0.01783,XOM
20,2021-04-30,0.65,0.59,0.06000000000000005,XOM
19,2021-07-30,1.1,0.99,0.1100000000000001,XOM
18,2021-10-29,1.58,1.56,0.020000000000000018,XOM
17,2022-02-01,2.05,1.94,0.10999999999999988,XOM
16,2022-04-29,2.07,2.25,-0.18000000000000016,XOM
15,2022-07-29,4.14,3.74,0.39999999999999947,XOM
14,2022-10-28,4.45,3.79,0.6600000000000001,XOM
13,2023-01-31,3.4,3.29,0.10999999999999988,XOM
12,2023-04-28,2.83,2.59,0.2400000000000002,XOM
11,2023-07-28,1.94,2.01,-0.06999999999999984,XOM
10,2023-10-27,2.27,2.37,-0.10000000000000009,XOM
9,2024-02-02,2.48,2.21,0.27,XOM
8,2024-04-26,2.06,2.2,-0.14000000000000012,XOM
7,2024-08-02,2.14,2.01,0.13000000000000034,XOM
6,2024-11-01,1.92,1.88,0.040000000000000036,XOM
5,2025-01-31,1.67,1.77,-0.10000000000000009,XOM
4,2025-05-02,1.76,1.75,0.010000000000000009,XOM
3,2025-08-01,1.64,1.57,0.06999999999999984,XOM
2,2025-11-07,,1.73,,XOM
112,1998-03-11,0.04,0.0323,0.0076999999999999985,TSM
111,1998-04-27,0.04,0.03923,0.0007699999999999999,TSM
109,1999-01-11,0.00485,0.00667,-0.0018199999999999996,TSM
108,1999-01-27,0.03,0.0195,0.010499999999999999,TSM
107,1999-04-21,0.04,0.02285,0.017150000000000002,TSM
106,1999-09-10,0.05,0.04587,0.004130000000000002,TSM
105,1999-10-25,0.05,0.05,0.0,TSM
104,2000-01-27,0.06,0.06,0.0,TSM
103,2000-04-27,0.08,0.07,0.009999999999999995,TSM
102,2000-07-31,0.1,0.08,0.020000000000000004,TSM
101,2000-10-19,0.13,0.12,0.010000000000000009,TSM
98,2001-10-26,0.00417,0.00347,0.0007000000000000001,TSM
97,2002-01-28,0.03,0.03,0.0,TSM
96,2002-05-09,0.04,0.03619,0.003810000000000001,TSM
95,2002-07-25,0.05,0.06,-0.009999999999999995,TSM
94,2002-10-22,0.00649,0.01893,-0.01244,TSM
93,2003-01-28,0.00638,0.0079,-0.0015200000000000005,TSM
92,2003-04-29,0.02,0.01244,0.007560000000000001,TSM
91,2003-07-24,0.06,0.05,0.009999999999999995,TSM
90,2003-10-28,0.09,0.08,0.009999999999999995,TSM
89,2004-01-29,0.1,0.09,0.010000000000000009,TSM
88,2004-04-21,0.11,0.1,0.009999999999999995,TSM
87,2004-07-29,0.14,0.12,0.020000000000000018,TSM
86,2004-10-26,0.16,0.14,0.01999999999999999,TSM
85,2005-01-27,0.14,0.12,0.020000000000000018,TSM
84,2005-04-26,0.1,0.1,0.0,TSM
83,2005-07-26,0.11,0.11,0.0,TSM
82,2005-10-27,0.14,0.14,0.0,TSM
81,2006-01-26,0.2,0.19,0.010000000000000009,TSM
80,2006-04-27,0.19,0.17,0.01999999999999999,TSM
79,2006-07-27,0.2,0.19,0.010000000000000009,TSM
78,2006-10-26,0.19,0.19,0.0,TSM
77,2007-01-25,0.16,0.15,0.010000000000000009,TSM
76,2007-04-26,0.11,0.11,0.0,TSM
